店铺id,评分,评论数量,人均消费,归属商圈,菜系类型,county,距离描述
78531225,3.0,5,48,马甸/安贞地区,面包甜点,西城区,距市中心6.5km
56405753,3.0,5,3689,燕莎/朝阳公园商业区,日本料理,朝阳区,距市中心7km
15921110,3.0,5,113,,烧烤,海淀区,距市中心8.3km
16564798,3.0,5,328,燕莎/朝阳公园商业区,日本料理,朝阳区,距市中心8km
4960690,3.0,4,109,,川菜,海淀区,距市中心11km
120806967,3.0,4,267,亦庄地区,江浙菜,大兴区,距市中心16.3km
17588393,3.0,4,140,回龙观/天通苑地区,云南菜,昌平区,距市中心17.3km
120835451,3.0,4,98,天安门/王府井地区,烧烤,东城区,距市中心2.2km
8593931,3.0,4,79,大兴北京新机场地区,北京菜,大兴区,距市中心25.3km
78025608,3.0,4,0,,快餐简餐,门头沟区,距市中心33.3km
25052258,3.0,4,158,西直门/北京展览馆地区,日本料理,西城区,距市中心4.5km
7046237,3.0,4,62,永定门/南站/大红门/南苑地区,小吃,丰台区,距市中心7.2km
15465985,3.0,4,68,北京西站/丽泽商务区,东北菜,海淀区,距市中心8.6km
120829219,3.0,3,106,北京西站/丽泽商务区,火锅,丰台区,距市中心10km
331746,3.0,3,202,西直门/北京展览馆地区,,海淀区,距市中心10km
122675235,3.0,3,29,总部基地/丰台体育中心/南宫地区,小吃,丰台区,距市中心12.9km
120831204,3.0,3,84,亦庄地区,烧烤,大兴区,距市中心13.3km
4989514,3.0,3,23,大兴北京新机场地区,小吃,大兴区,距市中心13.5km
12416916,3.0,3,38,亦庄地区,小吃,大兴区,距市中心16.5km
90680716,3.0,3,64,天安门/王府井地区,北京菜,东城区,距市中心1.6km
4957292,3.0,3,85,公主坟/五棵松/石景山游乐园地区,火锅,石景山区,距市中心18.1km
4984172,3.0,3,54,香山/八大处风景区,小吃,石景山区,距市中心19.1km
4956061,3.0,3,35,回龙观/天通苑地区,西北菜,昌平区,距市中心22km
133775259,3.0,3,88,环球影城度假区及周边,快餐简餐,通州区,距市中心24.3km
7031590,3.0,3,14,房山风景区,快餐简餐,房山区,距市中心26.6km
